Merchant_ID,Merchant_Name,Industry,Onboarding_Date
MERCH1,Business_1,Education,2023-07-26
MERCH2,Business_2,Services,2024-01-07
MERCH3,Business_3,Retail,2022-10-06
MERCH4,Business_4,Technology,2024-03-16
MERCH5,Business_5,Technology,2023-12-13
MERCH6,Business_6,Education,2021-07-07
MERCH7,Business_7,Services,2024-04-21
MERCH8,Business_8,Education,2023-03-29
MERCH9,Business_9,Services,2024-06-30
MERCH10,Business_10,Education,2022-06-17
MERCH11,Business_11,Technology,2024-01-17
MERCH12,Business_12,Education,2024-06-23
MERCH13,Business_13,Services,2023-05-29
MERCH14,Business_14,Healthcare,2022-01-13
MERCH15,Business_15,Education,2021-12-28
MERCH16,Business_16,Healthcare,2022-08-20
MERCH17,Business_17,Education,2022-08-20
MERCH18,Business_18,Technology,2023-04-24
MERCH19,Business_19,Healthcare,2021-08-20
MERCH20,Business_20,Services,2021-10-25
MERCH21,Business_21,Healthcare,2023-07-11
MERCH22,Business_22,Education,2023-03-12
MERCH23,Business_23,Healthcare,2022-03-23
MERCH24,Business_24,Healthcare,2023-12-11
MERCH25,Business_25,Services,2021-07-18
MERCH26,Business_26,Technology,2024-04-15
MERCH27,Business_27,Education,2024-02-10
MERCH28,Business_28,Education,2022-03-03
MERCH29,Business_29,Services,2024-04-20
MERCH30,Business_30,Technology,2021-09-26
MERCH31,Business_31,Education,2022-06-16
MERCH32,Business_32,Healthcare,2022-04-15
MERCH33,Business_33,Education,2024-04-17
MERCH34,Business_34,Services,2023-02-18
MERCH35,Business_35,Education,2023-04-25
MERCH36,Business_36,Retail,2023-04-23
MERCH37,Business_37,Services,2024-02-13
MERCH38,Business_38,Education,2024-05-27
MERCH39,Business_39,Services,2023-03-31
MERCH40,Business_40,Retail,2022-07-09
MERCH41,Business_41,Education,2024-01-17
MERCH42,Business_42,Technology,2023-02-10
MERCH43,Business_43,Retail,2022-10-07
MERCH44,Business_44,Services,2022-10-25
MERCH45,Business_45,Education,2021-09-12
MERCH46,Business_46,Services,2024-03-20
MERCH47,Business_47,Technology,2023-11-17
MERCH48,Business_48,Technology,2024-01-21
MERCH49,Business_49,Technology,2023-06-25
MERCH50,Business_50,Education,2021-07-20
MERCH51,Business_51,Services,2022-06-05
MERCH52,Business_52,Education,2022-09-19
MERCH53,Business_53,Education,2024-06-07
MERCH54,Business_54,Education,2023-07-26
MERCH55,Business_55,Retail,2022-02-26
MERCH56,Business_56,Technology,2024-05-23
MERCH57,Business_57,Services,2022-11-15
MERCH58,Business_58,Services,2023-08-08
MERCH59,Business_59,Technology,2024-02-28
MERCH60,Business_60,Retail,2023-03-23
MERCH61,Business_61,Services,2023-11-21
MERCH62,Business_62,Services,2023-10-11
MERCH63,Business_63,Services,2022-06-05
MERCH64,Business_64,Education,2023-02-12
MERCH65,Business_65,Education,2022-12-01
MERCH66,Business_66,Technology,2022-11-18
MERCH67,Business_67,Services,2023-06-06
MERCH68,Business_68,Education,2022-02-19
MERCH69,Business_69,Retail,2022-10-03
MERCH70,Business_70,Technology,2023-11-11
MERCH71,Business_71,Services,2024-01-06
MERCH72,Business_72,Education,2021-07-08
MERCH73,Business_73,Retail,2023-12-29
MERCH74,Business_74,Retail,2022-05-06
MERCH75,Business_75,Healthcare,2022-09-05
MERCH76,Business_76,Technology,2021-12-19
MERCH77,Business_77,Retail,2022-08-22
MERCH78,Business_78,Technology,2021-12-10
MERCH79,Business_79,Technology,2023-11-20
MERCH80,Business_80,Retail,2023-05-08
MERCH81,Business_81,Retail,2021-11-04
MERCH82,Business_82,Retail,2021-12-14
MERCH83,Business_83,Services,2021-09-19
MERCH84,Business_84,Healthcare,2022-02-21
MERCH85,Business_85,Technology,2023-02-02
MERCH86,Business_86,Services,2022-11-19
MERCH87,Business_87,Services,2023-05-08
MERCH88,Business_88,Technology,2023-02-03
MERCH89,Business_89,Healthcare,2023-09-09
MERCH90,Business_90,Services,2023-04-12
MERCH91,Business_91,Healthcare,2022-08-09
MERCH92,Business_92,Services,2021-12-09
MERCH93,Business_93,Retail,2021-10-02
MERCH94,Business_94,Healthcare,2023-09-23
MERCH95,Business_95,Education,2022-06-29
MERCH96,Business_96,Education,2023-12-12
MERCH97,Business_97,Education,2023-10-02
MERCH98,Business_98,Education,2022-09-27
MERCH99,Business_99,Education,2022-04-01
MERCH100,Business_100,Retail,2023-07-13
MERCH101,Business_101,Retail,2022-01-24
MERCH102,Business_102,Technology,2023-06-12
MERCH103,Business_103,Retail,2021-07-13
MERCH104,Business_104,Healthcare,2021-08-12
MERCH105,Business_105,Education,2024-01-11
MERCH106,Business_106,Education,2023-12-05
MERCH107,Business_107,Healthcare,2022-11-25
MERCH108,Business_108,Technology,2022-09-23
MERCH109,Business_109,Healthcare,2023-01-24
MERCH110,Business_110,Retail,2024-02-26
